0 Jahre,Eisenstadt (Stadt) <101>,27
0 Jahre,Rust (Stadt) <102>,1
0 Jahre,Eisenstadt Umgebung <103>,33
0 Jahre,Güssing <104>,13
0 Jahre,Jennersdorf <105>,8
0 Jahre,Mattersburg <106>,34
0 Jahre,Neusiedl am See <107>,45
0 Jahre,Oberpullendorf <108>,26
0 Jahre,Oberwart <109>,52
0 Jahre,Klagenfurt (Stadt) <201>,146
0 Jahre,Villach (Stadt) <202>,82
0 Jahre,Feldkirchen <210>,18
0 Jahre,Hermagor <203>,6
0 Jahre,Klagenfurt Land <204>,51
0 Jahre,Sankt Veit an der Glan <205>,46
0 Jahre,Spittal an der Drau <206>,58
0 Jahre,Villach Land <207>,62
0 Jahre,Völkermarkt <208>,39
0 Jahre,Wolfsberg <209>,56
0 Jahre,Krems an der Donau (Stadt) <301>,25
0 Jahre,Sankt Pölten (Stadt) <302>,78
0 Jahre,Waidhofen an der Ybbs (Stadt) <303>,13
0 Jahre,Wiener Neustadt (Stadt) <304>,74
0 Jahre,Amstetten <305>,102
0 Jahre,Baden <306>,117
0 Jahre,Bruck an der Leitha <307>,112
0 Jahre,Gänserndorf <308>,99
0 Jahre,Gmünd <309>,24
0 Jahre,Hollabrunn <310>,52
0 Jahre,Horn <311>,18
0 Jahre,Korneuburg <312>,79
0 Jahre,Krems Land <313>,34
0 Jahre,Lilienfeld <314>,31
0 Jahre,Melk <315>,64
0 Jahre,Mistelbach <316>,57
0 Jahre,Mödling <317>,111
0 Jahre,Neunkirchen <318>,63
0 Jahre,Sankt Pölten Land <319>,102
0 Jahre,Scheibbs <320>,33
0 Jahre,Tulln <321>,81
0 Jahre,Waidhofen an der Thaya <322>,13
0 Jahre,Wiener Neustadt Land <323>,65
0 Jahre,Wien Umgebung ^<324>,-
0 Jahre,Zwettl <325>,30
0 Jahre,Stadt Linz <401>,350
0 Jahre,Stadt Steyr <402>,56
0 Jahre,Stadt Wels <403>,127
0 Jahre,Braunau <404>,108
0 Jahre,Eferding <405>,23
0 Jahre,Freistadt <406>,38
0 Jahre,Gmunden <407>,74
0 Jahre,Grieskirchen <408>,53
0 Jahre,Kirchdorf <409>,52
0 Jahre,Linz Land <410>,172
0 Jahre,Perg <411>,62
0 Jahre,Ried <412>,65
0 Jahre,Rohrbach <413>,30
0 Jahre,Schärding <414>,56
0 Jahre,Steyr Land <415>,40
0 Jahre,Urfahr Umgebung <416>,53
0 Jahre,Vöcklabruck <417>,159
0 Jahre,Wels Land <418>,72
0 Jahre,Salzburg (Stadt) <501>,211
0 Jahre,Hallein <502>,58
0 Jahre,Salzburg Umgebung <503>,142
0 Jahre,St. Johann im Pongau <504>,76
0 Jahre,Tamsweg <505>,13
0 Jahre,Zell am See <506>,95
0 Jahre,Graz (Stadt) <601>,545
0 Jahre,Bruck an der Mur ^<602>,-
0 Jahre,Bruck-Mürzzuschlag <621>,108
0 Jahre,Deutschlandsberg <603>,46
0 Jahre,Feldbach ^<604>,-
0 Jahre,Fürstenfeld ^<605>,-
0 Jahre,Graz Umgebung <606>,139
0 Jahre,Hartberg ^<607>,-
0 Jahre,Hartberg-Fürstenfeld <622>,60
0 Jahre,Judenburg ^<608>,-
0 Jahre,Knittelfeld ^<609>,-
0 Jahre,Leibnitz <610>,67
0 Jahre,Leoben <611>,35
0 Jahre,Liezen <612>,63
0 Jahre,Murtal <620>,61
0 Jahre,Mürzzuschlag ^<613>,-
0 Jahre,Murau <614>,16
0 Jahre,Radkersburg ^<615>,-
0 Jahre,Südoststeiermark <623>,45
0 Jahre,Voitsberg <616>,45
0 Jahre,Weiz <617>,81
1 Jahr,Eisenstadt (Stadt) <101>,22
1 Jahr,Rust (Stadt) <102>,1
1 Jahr,Eisenstadt Umgebung <103>,29
1 Jahr,Güssing <104>,13
1 Jahr,Jennersdorf <105>,10
1 Jahr,Mattersburg <106>,33
1 Jahr,Neusiedl am See <107>,54
1 Jahr,Oberpullendorf <108>,28
1 Jahr,Oberwart <109>,58
1 Jahr,Klagenfurt (Stadt) <201>,128
1 Jahr,Villach (Stadt) <202>,86
1 Jahr,Feldkirchen <210>,25
1 Jahr,Hermagor <203>,9
1 Jahr,Klagenfurt Land <204>,60
1 Jahr,Sankt Veit an der Glan <205>,57
1 Jahr,Spittal an der Drau <206>,69
1 Jahr,Villach Land <207>,48
1 Jahr,Völkermarkt <208>,27
1 Jahr,Wolfsberg <209>,43
1 Jahr,Krems an der Donau (Stadt) <301>,31
1 Jahr,Sankt Pölten (Stadt) <302>,98
1 Jahr,Waidhofen an der Ybbs (Stadt) <303>,13
1 Jahr,Wiener Neustadt (Stadt) <304>,82
1 Jahr,Amstetten <305>,84
1 Jahr,Baden <306>,143
1 Jahr,Bruck an der Leitha <307>,92
1 Jahr,Gänserndorf <308>,95
1 Jahr,Gmünd <309>,20
1 Jahr,Hollabrunn <310>,40
1 Jahr,Horn <311>,22
1 Jahr,Korneuburg <312>,96
1 Jahr,Krems Land <313>,30
1 Jahr,Lilienfeld <314>,27
1 Jahr,Melk <315>,67
1 Jahr,Mistelbach <316>,59
1 Jahr,Mödling <317>,120
1 Jahr,Neunkirchen <318>,93
1 Jahr,Sankt Pölten Land <319>,121
1 Jahr,Scheibbs <320>,36
1 Jahr,Tulln <321>,101
1 Jahr,Waidhofen an der Thaya <322>,19
1 Jahr,Wiener Neustadt Land <323>,73
1 Jahr,Wien Umgebung ^<324>,-
1 Jahr,Zwettl <325>,22
1 Jahr,Stadt Linz <401>,350
1 Jahr,Stadt Steyr <402>,47
1 Jahr,Stadt Wels <403>,107
1 Jahr,Braunau <404>,104
1 Jahr,Eferding <405>,15
1 Jahr,Freistadt <406>,49
1 Jahr,Gmunden <407>,73
1 Jahr,Grieskirchen <408>,55
1 Jahr,Kirchdorf <409>,55
1 Jahr,Linz Land <410>,182
1 Jahr,Perg <411>,63
1 Jahr,Ried <412>,67
1 Jahr,Rohrbach <413>,41
1 Jahr,Schärding <414>,40
1 Jahr,Steyr Land <415>,54
1 Jahr,Urfahr Umgebung <416>,76
1 Jahr,Vöcklabruck <417>,176
1 Jahr,Wels Land <418>,68
1 Jahr,Salzburg (Stadt) <501>,230
1 Jahr,Hallein <502>,62
1 Jahr,Salzburg Umgebung <503>,133
1 Jahr,St. Johann im Pongau <504>,79
1 Jahr,Tamsweg <505>,17
1 Jahr,Zell am See <506>,86
1 Jahr,Graz (Stadt) <601>,557
1 Jahr,Bruck an der Mur ^<602>,-
1 Jahr,Bruck-Mürzzuschlag <621>,85
1 Jahr,Deutschlandsberg <603>,51
1 Jahr,Feldbach ^<604>,-
1 Jahr,Fürstenfeld ^<605>,-
1 Jahr,Graz Umgebung <606>,156
1 Jahr,Hartberg ^<607>,-
1 Jahr,Hartberg-Fürstenfeld <622>,66
1 Jahr,Judenburg ^<608>,-
1 Jahr,Knittelfeld ^<609>,-
1 Jahr,Leibnitz <610>,73
1 Jahr,Leoben <611>,55
1 Jahr,Liezen <612>,77
1 Jahr,Murtal <620>,84
1 Jahr,Mürzzuschlag ^<613>,-
1 Jahr,Murau <614>,19
1 Jahr,Radkersburg ^<615>,-
1 Jahr,Südoststeiermark <623>,79
1 Jahr,Voitsberg <616>,40
1 Jahr,Weiz <617>,88
2 Jahre,Eisenstadt (Stadt) <101>,13
2 Jahre,Rust (Stadt) <102>,2
2 Jahre,Eisenstadt Umgebung <103>,24
2 Jahre,Güssing <104>,14
2 Jahre,Jennersdorf <105>,10
2 Jahre,Mattersburg <106>,31
2 Jahre,Neusiedl am See <107>,41
2 Jahre,Oberpullendorf <108>,25
2 Jahre,Oberwart <109>,47
2 Jahre,Klagenfurt (Stadt) <201>,151
2 Jahre,Villach (Stadt) <202>,94
2 Jahre,Feldkirchen <210>,29
2 Jahre,Hermagor <203>,10
2 Jahre,Klagenfurt Land <204>,66
2 Jahre,Sankt Veit an der Glan <205>,42
2 Jahre,Spittal an der Drau <206>,62
2 Jahre,Villach Land <207>,40
2 Jahre,Völkermarkt <208>,31
2 Jahre,Wolfsberg <209>,43
2 Jahre,Krems an der Donau (Stadt) <301>,35
2 Jahre,Sankt Pölten (Stadt) <302>,87
2 Jahre,Waidhofen an der Ybbs (Stadt) <303>,13
2 Jahre,Wiener Neustadt (Stadt) <304>,71
2 Jahre,Amstetten <305>,106
2 Jahre,Baden <306>,132
2 Jahre,Bruck an der Leitha <307>,82
2 Jahre,Gänserndorf <308>,88
2 Jahre,Gmünd <309>,15
2 Jahre,Hollabrunn <310>,35
2 Jahre,Horn <311>,14
2 Jahre,Korneuburg <312>,77
2 Jahre,Krems Land <313>,37
2 Jahre,Lilienfeld <314>,19
2 Jahre,Melk <315>,73
2 Jahre,Mistelbach <316>,56
2 Jahre,Mödling <317>,106
2 Jahre,Neunkirchen <318>,58
2 Jahre,Sankt Pölten Land <319>,110
2 Jahre,Scheibbs <320>,32
2 Jahre,Tulln <321>,92
2 Jahre,Waidhofen an der Thaya <322>,20
2 Jahre,Wiener Neustadt Land <323>,53
2 Jahre,Wien Umgebung ^<324>,-
2 Jahre,Zwettl <325>,26
2 Jahre,Stadt Linz <401>,302
2 Jahre,Stadt Steyr <402>,60
2 Jahre,Stadt Wels <403>,85
2 Jahre,Braunau <404>,104
2 Jahre,Eferding <405>,24
2 Jahre,Freistadt <406>,54
2 Jahre,Gmunden <407>,84
2 Jahre,Grieskirchen <408>,56
2 Jahre,Kirchdorf <409>,52
2 Jahre,Linz Land <410>,163
2 Jahre,Perg <411>,75
2 Jahre,Ried <412>,65
2 Jahre,Rohrbach <413>,40
2 Jahre,Schärding <414>,45
2 Jahre,Steyr Land <415>,58
2 Jahre,Urfahr Umgebung <416>,57
2 Jahre,Vöcklabruck <417>,148
2 Jahre,Wels Land <418>,61
2 Jahre,Salzburg (Stadt) <501>,180
2 Jahre,Hallein <502>,48
2 Jahre,Salzburg Umgebung <503>,147
2 Jahre,St. Johann im Pongau <504>,67
2 Jahre,Tamsweg <505>,19
2 Jahre,Zell am See <506>,55
2 Jahre,Graz (Stadt) <601>,455
2 Jahre,Bruck an der Mur ^<602>,-
2 Jahre,Bruck-Mürzzuschlag <621>,93
2 Jahre,Deutschlandsberg <603>,45
2 Jahre,Feldbach ^<604>,-
2 Jahre,Fürstenfeld ^<605>,-
2 Jahre,Graz Umgebung <606>,124
2 Jahre,Hartberg ^<607>,-
2 Jahre,Hartberg-Fürstenfeld <622>,52
2 Jahre,Judenburg ^<608>,-
2 Jahre,Knittelfeld ^<609>,-
2 Jahre,Leibnitz <610>,82
2 Jahre,Leoben <611>,62
2 Jahre,Liezen <612>,63
2 Jahre,Murtal <620>,66
2 Jahre,Mürzzuschlag ^<613>,-
2 Jahre,Murau <614>,18
2 Jahre,Radkersburg ^<615>,-
2 Jahre,Südoststeiermark <623>,63
2 Jahre,Voitsberg <616>,57
2 Jahre,Weiz <617>,100
3 Jahre,Eisenstadt (Stadt) <101>,16
3 Jahre,Rust (Stadt) <102>,-
3 Jahre,Eisenstadt Umgebung <103>,26
3 Jahre,Güssing <104>,17
3 Jahre,Jennersdorf <105>,16
3 Jahre,Mattersburg <106>,31
3 Jahre,Neusiedl am See <107>,47
3 Jahre,Oberpullendorf <108>,23
3 Jahre,Oberwart <109>,48
3 Jahre,Klagenfurt (Stadt) <201>,88
3 Jahre,Villach (Stadt) <202>,74
3 Jahre,Feldkirchen <210>,32
3 Jahre,Hermagor <203>,4
3 Jahre,Klagenfurt Land <204>,56
3 Jahre,Sankt Veit an der Glan <205>,55
3 Jahre,Spittal an der Drau <206>,57
3 Jahre,Villach Land <207>,55
3 Jahre,Völkermarkt <208>,49
3 Jahre,Wolfsberg <209>,35
3 Jahre,Krems an der Donau (Stadt) <301>,18
3 Jahre,Sankt Pölten (Stadt) <302>,65
3 Jahre,Waidhofen an der Ybbs (Stadt) <303>,9
3 Jahre,Wiener Neustadt (Stadt) <304>,63
3 Jahre,Amstetten <305>,82
3 Jahre,Baden <306>,113
3 Jahre,Bruck an der Leitha <307>,88
3 Jahre,Gänserndorf <308>,85
3 Jahre,Gmünd <309>,18
3 Jahre,Hollabrunn <310>,28
3 Jahre,Horn <311>,15
3 Jahre,Korneuburg <312>,57
3 Jahre,Krems Land <313>,29
3 Jahre,Lilienfeld <314>,25
3 Jahre,Melk <315>,54
3 Jahre,Mistelbach <316>,44
3 Jahre,Mödling <317>,77
3 Jahre,Neunkirchen <318>,67
3 Jahre,Sankt Pölten Land <319>,113
3 Jahre,Scheibbs <320>,33
3 Jahre,Tulln <321>,85
3 Jahre,Waidhofen an der Thaya <322>,17
3 Jahre,Wiener Neustadt Land <323>,55
3 Jahre,Wien Umgebung ^<324>,-
3 Jahre,Zwettl <325>,20
3 Jahre,Stadt Linz <401>,277
3 Jahre,Stadt Steyr <402>,30
3 Jahre,Stadt Wels <403>,89
3 Jahre,Braunau <404>,106
3 Jahre,Eferding <405>,22
3 Jahre,Freistadt <406>,33
3 Jahre,Gmunden <407>,73
3 Jahre,Grieskirchen <408>,52
3 Jahre,Kirchdorf <409>,40
3 Jahre,Linz Land <410>,165
3 Jahre,Perg <411>,54
3 Jahre,Ried <412>,66
3 Jahre,Rohrbach <413>,38
3 Jahre,Schärding <414>,40
3 Jahre,Steyr Land <415>,53
3 Jahre,Urfahr Umgebung <416>,55
3 Jahre,Vöcklabruck <417>,128
3 Jahre,Wels Land <418>,62
3 Jahre,Salzburg (Stadt) <501>,165
3 Jahre,Hallein <502>,56
3 Jahre,Salzburg Umgebung <503>,136
3 Jahre,St. Johann im Pongau <504>,65
3 Jahre,Tamsweg <505>,12
3 Jahre,Zell am See <506>,75
3 Jahre,Graz (Stadt) <601>,455
3 Jahre,Bruck an der Mur ^<602>,-
3 Jahre,Bruck-Mürzzuschlag <621>,84
3 Jahre,Deutschlandsberg <603>,41
3 Jahre,Feldbach ^<604>,-
3 Jahre,Fürstenfeld ^<605>,-
3 Jahre,Graz Umgebung <606>,141
3 Jahre,Hartberg ^<607>,-
3 Jahre,Hartberg-Fürstenfeld <622>,73
3 Jahre,Judenburg ^<608>,-
3 Jahre,Knittelfeld ^<609>,-
3 Jahre,Leibnitz <610>,83
3 Jahre,Leoben <611>,68
3 Jahre,Liezen <612>,60
3 Jahre,Murtal <620>,55
3 Jahre,Mürzzuschlag ^<613>,-
3 Jahre,Murau <614>,16
3 Jahre,Radkersburg ^<615>,-
3 Jahre,Südoststeiermark <623>,41
3 Jahre,Voitsberg <616>,35
3 Jahre,Weiz <617>,76
4 Jahre,Eisenstadt (Stadt) <101>,18
4 Jahre,Rust (Stadt) <102>,-
4 Jahre,Eisenstadt Umgebung <103>,29
4 Jahre,Güssing <104>,19
4 Jahre,Jennersdorf <105>,9
4 Jahre,Mattersburg <106>,26
4 Jahre,Neusiedl am See <107>,41
4 Jahre,Oberpullendorf <108>,15
4 Jahre,Oberwart <109>,34
4 Jahre,Klagenfurt (Stadt) <201>,109
4 Jahre,Villach (Stadt) <202>,81
4 Jahre,Feldkirchen <210>,17
4 Jahre,Hermagor <203>,12
4 Jahre,Klagenfurt Land <204>,57
4 Jahre,Sankt Veit an der Glan <205>,51
4 Jahre,Spittal an der Drau <206>,68
4 Jahre,Villach Land <207>,62
4 Jahre,Völkermarkt <208>,39
4 Jahre,Wolfsberg <209>,35
4 Jahre,Krems an der Donau (Stadt) <301>,32
4 Jahre,Sankt Pölten (Stadt) <302>,58
4 Jahre,Waidhofen an der Ybbs (Stadt) <303>,5
4 Jahre,Wiener Neustadt (Stadt) <304>,60
4 Jahre,Amstetten <305>,80
4 Jahre,Baden <306>,130
4 Jahre,Bruck an der Leitha <307>,73
4 Jahre,Gänserndorf <308>,82
4 Jahre,Gmünd <309>,24
4 Jahre,Hollabrunn <310>,30
4 Jahre,Horn <311>,12
4 Jahre,Korneuburg <312>,53
4 Jahre,Krems Land <313>,25
