STATcube

"Wanderungen innerhalb Österreichs ab 2002 (Q)"
"Alter in 5-Jahresgruppen <20> nach Jahr nach Wanderungen innerhalb Österreichs"
"Zählt: Wanderungen innerhalb Österreichs"

"Alter in 5-Jahresgruppen <20>";"Jahr";"Werte";"Anzahl";"Anmerkungen";
"bis 4 Jahre";"2025";"Wanderungen innerhalb Österreichs";46179;
"5 bis 9 Jahre";"2025";"Wanderungen innerhalb Österreichs";34934;
"10 bis 14 Jahre";"2025";"Wanderungen innerhalb Österreichs";28677;
"15 bis 19 Jahre";"2025";"Wanderungen innerhalb Österreichs";43056;
"20 bis 24 Jahre";"2025";"Wanderungen innerhalb Österreichs";98962;
"25 bis 29 Jahre";"2025";"Wanderungen innerhalb Österreichs";116156;
"30 bis 34 Jahre";"2025";"Wanderungen innerhalb Österreichs";94114;
"35 bis 39 Jahre";"2025";"Wanderungen innerhalb Österreichs";67893;
"40 bis 44 Jahre";"2025";"Wanderungen innerhalb Österreichs";49001;
"45 bis 49 Jahre";"2025";"Wanderungen innerhalb Österreichs";35074;
"50 bis 54 Jahre";"2025";"Wanderungen innerhalb Österreichs";28863;
"55 bis 59 Jahre";"2025";"Wanderungen innerhalb Österreichs";25103;
"60 bis 64 Jahre";"2025";"Wanderungen innerhalb Österreichs";20744;
"65 bis 69 Jahre";"2025";"Wanderungen innerhalb Österreichs";13380;
"70 bis 74 Jahre";"2025";"Wanderungen innerhalb Österreichs";8755;
"75 bis 79 Jahre";"2025";"Wanderungen innerhalb Österreichs";8046;
"80 bis 84 Jahre";"2025";"Wanderungen innerhalb Österreichs";9566;
"85 bis 89 Jahre";"2025";"Wanderungen innerhalb Österreichs";9336;
"90 bis 94 Jahre";"2025";"Wanderungen innerhalb Österreichs";5181;
"95 Jahre und älter";"2025";"Wanderungen innerhalb Österreichs";1622;


Symbol;Beschreibung
"Q";"STATcube – Statistische Datenbank von STATISTIK AUSTRIA"
"Wanderungen innerhalb Österreichs ab 2002";".) Datenprovenienz: Die Wanderungsstatistik wird von der Statistik Austria erstellt und basiert auf den Daten (An- und Abmeldungen) des Zentralen Melderegisters (ZMR). Wanderungen innerhalb Österreichs (Binnenwanderungen) sind Hauptwohnsitzverlegungen innerhalb Österreichs. Neben Wanderungen über administrative Grenzen (z.B. Bundesland-, Bezirks- oder Gemeindegrenzen) hinweg werden auch Hauptwohnsitz- wechsel innerhalb derselben Gemeinde von der Wanderungsstatistik erfasst. Weitere Metadaten: https://www.statistik.at/fileadmin/shared/QM/Standarddokumentationen/B_2/std_b_wanderungsstatistik.pdf weitere Informationen finden Sie unter: Weitere Metadaten: https://www.statistik.at/statistiken/bevoelkerung-und-soziales/bevoelkerung/migration-und-einbuergerung .) Gesetzliche Grundlagen: Die Wanderungsstatistik ist eine im Sinne des Par.4.(1) BstatG angeordnete Statistik. Die Datenübermittlung der für die Wanderungsstatsitik benötigten Meldedaten ist im Par.16b(6) MeldeG geregelt. .) Aktualisierung: Jährlich im Mai für die Wanderungsstatistik des Vorjahres. Letzte Änderung des Würfels [29.06.2026] .) Bearbeitungsnachweis: Direktion Bevölkerung - Demographie Für allgemeine Anfragen: Tel.: +43 1 711 28-7070 Bei Spezialfragen wenden Sie sich bitte schriftlich an demographie@statistik.gv.at"


(c) Copyright Statistics Austria
