STATcube

"Wanderungen innerhalb Österreichs ab 2002 (Q)"
"Alter in 15-Jahresgruppen <6> nach Jahr und Bundesland (NUTS 2) - Herkunftsort nach Bundesland (NUTS 2) -  - Zielort"
"Zählt: Wanderungen innerhalb Österreichs"

Filter:
"Standardfakt";"Wanderungen innerhalb Österreichs"

" bis 14 Jahre"
;"Bundesland (NUTS 2) -  - Zielort";"Burgenland <AT11>";"Burgenland <AT11> - Anmerkungen";"Kärnten <AT21>";"Kärnten <AT21> - Anmerkungen";"Niederösterreich <AT12>";"Niederösterreich <AT12> - Anmerkungen";"Oberösterreich <AT31>";"Oberösterreich <AT31> - Anmerkungen";"Salzburg <AT32>";"Salzburg <AT32> - Anmerkungen";"Steiermark <AT22>";"Steiermark <AT22> - Anmerkungen";"Tirol <AT33>";"Tirol <AT33> - Anmerkungen";"Vorarlberg <AT34>";"Vorarlberg <AT34> - Anmerkungen";"Wien <AT13>";"Wien <AT13> - Anmerkungen";"Nicht klassifizierbar <0>";"Nicht klassifizierbar <0> - Anmerkungen";
"2025";"Burgenland <AT11>";1712;;12;;247;;23;;9;;121;;13;;8;;270;;-;;
;"Kärnten <AT21>";20;;4567;;60;;50;;65;;168;;57;;22;;144;;-;;
;"Niederösterreich <AT12>";329;;117;;11491;;319;;94;;271;;78;;55;;1967;;-;;
;"Oberösterreich <AT31>";30;;64;;343;;11523;;298;;194;;73;;32;;318;;-;;
;"Salzburg <AT32>";17;;74;;85;;424;;4580;;119;;101;;19;;155;;-;;
;"Steiermark <AT22>";120;;172;;168;;133;;74;;10936;;51;;30;;280;;-;;
;"Tirol <AT33>";29;;82;;78;;83;;86;;123;;6361;;54;;125;;-;;
;"Vorarlberg <AT34>";27;;12;;41;;45;;19;;43;;46;;3909;;60;;-;;
;"Wien <AT13>";418;;153;;3151;;249;;114;;343;;103;;61;;20523;;-;;
;"Nicht klassifizierbar <0>";-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;


" 60 bis 74 Jahre"
;"Bundesland (NUTS 2) -  - Zielort";"Burgenland <AT11>";"Burgenland <AT11> - Anmerkungen";"Kärnten <AT21>";"Kärnten <AT21> - Anmerkungen";"Niederösterreich <AT12>";"Niederösterreich <AT12> - Anmerkungen";"Oberösterreich <AT31>";"Oberösterreich <AT31> - Anmerkungen";"Salzburg <AT32>";"Salzburg <AT32> - Anmerkungen";"Steiermark <AT22>";"Steiermark <AT22> - Anmerkungen";"Tirol <AT33>";"Tirol <AT33> - Anmerkungen";"Vorarlberg <AT34>";"Vorarlberg <AT34> - Anmerkungen";"Wien <AT13>";"Wien <AT13> - Anmerkungen";"Nicht klassifizierbar <0>";"Nicht klassifizierbar <0> - Anmerkungen";
"Jahr";"Bundesland (NUTS 2) - Herkunftsort";
"2025";"Burgenland <AT11>";1021;;7;;135;;12;;12;;73;;11;;3;;158;;-;;
;"Kärnten <AT21>";14;;2501;;46;;22;;25;;100;;27;;8;;68;;-;;
;"Niederösterreich <AT12>";195;;76;;5856;;163;;45;;189;;34;;15;;993;;-;;
;"Oberösterreich <AT31>";29;;31;;145;;5566;;109;;104;;33;;10;;144;;-;;
;"Salzburg <AT32>";11;;45;;52;;171;;2300;;92;;28;;6;;68;;-;;
;"Steiermark <AT22>";80;;94;;115;;77;;31;;5637;;15;;12;;115;;-;;
;"Tirol <AT33>";25;;44;;46;;41;;35;;79;;3023;;24;;69;;-;;
;"Vorarlberg <AT34>";15;;14;;23;;12;;6;;35;;13;;1901;;23;;-;;
;"Wien <AT13>";316;;94;;1462;;135;;58;;186;;48;;17;;8206;;-;;
;"Nicht klassifizierbar <0>";-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;


" 75 Jahre und älter"
;"Bundesland (NUTS 2) -  - Zielort";"Burgenland <AT11>";"Burgenland <AT11> - Anmerkungen";"Kärnten <AT21>";"Kärnten <AT21> - Anmerkungen";"Niederösterreich <AT12>";"Niederösterreich <AT12> - Anmerkungen";"Oberösterreich <AT31>";"Oberösterreich <AT31> - Anmerkungen";"Salzburg <AT32>";"Salzburg <AT32> - Anmerkungen";"Steiermark <AT22>";"Steiermark <AT22> - Anmerkungen";"Tirol <AT33>";"Tirol <AT33> - Anmerkungen";"Vorarlberg <AT34>";"Vorarlberg <AT34> - Anmerkungen";"Wien <AT13>";"Wien <AT13> - Anmerkungen";"Nicht klassifizierbar <0>";"Nicht klassifizierbar <0> - Anmerkungen";
"Jahr";"Bundesland (NUTS 2) - Herkunftsort";
"2025";"Burgenland <AT11>";1178;;1;;61;;4;;5;;36;;-;;-;;49;;-;;
;"Kärnten <AT21>";6;;2388;;24;;10;;9;;58;;7;;3;;20;;-;;
;"Niederösterreich <AT12>";70;;12;;5403;;53;;17;;41;;8;;3;;369;;-;;
;"Oberösterreich <AT31>";3;;5;;38;;5431;;38;;35;;5;;3;;34;;-;;
;"Salzburg <AT32>";2;;13;;16;;38;;2008;;29;;12;;1;;31;;-;;
;"Steiermark <AT22>";32;;39;;41;;30;;19;;6348;;8;;3;;52;;-;;
;"Tirol <AT33>";5;;16;;14;;12;;10;;8;;2668;;12;;8;;-;;
;"Vorarlberg <AT34>";3;;2;;5;;3;;3;;8;;4;;1166;;4;;-;;
;"Wien <AT13>";110;;22;;729;;41;;10;;65;;15;;6;;4653;;-;;
;"Nicht klassifizierbar <0>";-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;


Symbol;Beschreibung
"Q";"STATcube – Statistische Datenbank von STATISTIK AUSTRIA"
"Wanderungen innerhalb Österreichs ab 2002";".) Datenprovenienz: Die Wanderungsstatistik wird von der Statistik Austria erstellt und basiert auf den Daten (An- und Abmeldungen) des Zentralen Melderegisters (ZMR). Wanderungen innerhalb Österreichs (Binnenwanderungen) sind Hauptwohnsitzverlegungen innerhalb Österreichs. Neben Wanderungen über administrative Grenzen (z.B. Bundesland-, Bezirks- oder Gemeindegrenzen) hinweg werden auch Hauptwohnsitz- wechsel innerhalb derselben Gemeinde von der Wanderungsstatistik erfasst. Weitere Metadaten: https://www.statistik.at/fileadmin/shared/QM/Standarddokumentationen/B_2/std_b_wanderungsstatistik.pdf weitere Informationen finden Sie unter: Weitere Metadaten: https://www.statistik.at/statistiken/bevoelkerung-und-soziales/bevoelkerung/migration-und-einbuergerung .) Gesetzliche Grundlagen: Die Wanderungsstatistik ist eine im Sinne des Par.4.(1) BstatG angeordnete Statistik. Die Datenübermittlung der für die Wanderungsstatsitik benötigten Meldedaten ist im Par.16b(6) MeldeG geregelt. .) Aktualisierung: Jährlich im Mai für die Wanderungsstatistik des Vorjahres. Letzte Änderung des Würfels [29.06.2026] .) Bearbeitungsnachweis: Direktion Bevölkerung - Demographie Für allgemeine Anfragen: Tel.: +43 1 711 28-7070 Bei Spezialfragen wenden Sie sich bitte schriftlich an demographie@statistik.gv.at"
"Gemeinde des Herkunftsortes (Vergröberung über Politischen Bezirk)";"Die Ausprägungen dieses Gliederungskriteriums enthalten neben dem Namen der Gemeinde auch - in gebrochener Klammer - deren fünfstellige Kennzahl. Ein '^' bei der Kennzahl bedeutet, dass die entsprechende Ausprägung im gegenwärtigen Gliederungsstand des Kriteriums nicht aktuell ist, aus Rücksicht auf ältere Daten jedoch mitgeführt werden muss."


(c) Copyright Statistics Austria
